son,parent
1271554,28435
1239453,28435
2303384,797348
1924249,1256075
1255872,2064212
1245857,1266283
1102342,1031626
2127793,1043898
1194098,1184247
1036760,39504
1275119,1262508
1018244,1048857
2256452,1058408
2206295,1075374
1199485,1338287
1346983,1346981
1347262,2449511
1213749,39504
1351609,39504
1768048,39504
1000210,790550
1628659,1262291
2288491,722081
1077894,722081
2362898,722081
2337690,722081
1045117,749360
2363377,1000521
1700407,1505998
2206612,1006536
1095724,1266636
1332997,1029141
2473294,1092192
1282761,1140337
1337277,1145067
1421031,1028996
187885,31247
1169798,155369
2179008,155369
1357052,749399
1133199,759524
2050621,1249856
1412767,1264065
2385124,1269902
1287179,1287517
1198306,1135354
1254828,1228477
2459323,1231818
1969537,625705
1497832,738467
1335858,1255631
1017212,1265791
1075950,1265936
1138861,1271895
1319056,1334288
1216797,1111156
1962679,1685292
2494056,2475314
1016622,1015634
2087902,1235272
2082513,551402
1720326,725249
1318223,725249
1258868,725249
1231950,728357
1199688,1088139
